,item,count
378,🐠,3
379,🤥,3
380,💘,3
381,🧎🏼‍♂️,3
382,😵‍💫,3
383,🐍,2
384,👨‍✈️,2
385,🏇,2
386,🔁,2
387,⏩,2
388,▶️,2
389,🐹,2
390,🏰,2
391,🐢,2
392,🎓,2
393,👨‍🎓,2
394,🤟🏿,2
395,🚣‍♂️,2
396,👨‍💻,2
397,☣️,2
398,🍦,2
399,🙅,2
400,🚬,2
401,🎰,2
402,🍗,2
403,📖,2
404,🏢,2
405,⌚,2
406,👨🏻‍⚕️,2
407,🚶🏻‍♀️,2
408,🚷,2
409,📥,2
410,🏥,2
411,💣,2
412,🤙,2
413,🇱🇷,2
414,☠,2
415,⛓,2
416,‼,2
417,👨‍👩‍👧‍👦,2
418,🆘,2
419,📊,2
420,↔️,2
421,⏰,2
422,🔋,2
423,🙇🏻‍♂️,2
424,🤦🏻‍♂️,2
425,🪑,2
426,🌄,2
427,💇🏻‍♂️,2
428,🎦,2
429,🙆🏻‍♂️,2
430,⛪,2
431,📃,2
432,🍱,2
433,🧽,2
434,🧚‍♀️,2
435,📆,2
436,🌪,2
437,🧈,2
438,🧏🏻‍♂️,2
439,🤏🏻,2
440,🍰,2
441,⏬,2
442,⭕,2
443,🥃,2
444,🐣,2
445,🙋‍♀️,2
446,❄️,2
447,🔨,2
448,☔,2
449,🔴,2
450,👺,2
451,🍵,2
452,🕷,2
453,🆙,2
454,📛,2
455,📙,2
456,❣️,2
457,☕,2
458,🐓,2
459,🌒,2
460,🐧,2
461,🦋,2
462,🌻,2
463,🎃,2
464,⬆,2
465,💎,2
466,✍️,2
467,📔,2
468,🍻,2
469,🎭,2
470,👁️,2
471,💁,2
472,➕,2
473,🦹‍♂️,2
474,🤦🏾‍♂️,2
475,🍼,2
476,💁🏻,2
477,🌤,2
478,🌵,2
479,🪳,2
480,®,2
481,🍏,2
482,🐪,2
483,🦷,2
484,😽,2
485,🥹,2
486,📳,2
487,🧁,2
488,🐑,1
489,🍟,1
490,🐺,1
491,7⃣,1
492,🅿,1
493,🅾,1
494,🤷🏽‍♂️,1
495,🏝,1
496,🍽,1
497,🗽,1
498,👩‍✈️,1
499,🧓🏻,1
500,⬇,1
501,☝,1
502,💴,1
503,💶,1
504,🔪,1
505,🚃,1
506,🚝,1
507,🚈,1
508,🚂,1
509,🧒🏻,1
510,👊,1
511,💃🏼,1
512,🤳🏻,1
513,🎷,1
514,🐀,1
515,👃,1
516,🤖,1
517,🚰,1
518,🛀,1
519,🐕,1
520,🦜,1
521,😺,1
522,🐭,1
523,😾,1
524,🧙‍♀️,1
525,⛹️,1
526,🏌️,1
527,🐖,1
528,🚲,1
529,🌺,1
530,👨,1
531,🐘,1
532,🚣‍♀️,1
533,👼🏻,1
534,👨‍🔬,1
535,👩‍⚖️,1
536,👩‍🚀,1
537,👩‍🎨,1
538,🧜‍♂️,1
539,🤱,1
540,🧦,1
541,🤷🏾‍♂️,1
542,🈵,1
543,🇨🇳,1
544,🧬,1
545,🏋️,1
546,🎱,1
547,🐛,1
548,🍶,1
549,👩🏾‍⚕️,1
550,🚶🏻‍♂️,1
551,💭,1
552,🗡️,1
553,🙏🏾,1
554,⚔,1
555,💆‍♂️,1
556,🆓,1
557,🧟‍♀️,1
558,☄,1
559,☢,1
560,👨‍💼,1
561,♾,1
562,👔,1
563,🤷🏿‍♂️,1
564,🙍‍♂️,1
565,📨,1
566,👫,1
567,👨‍👩‍👧,1
568,👛,1
569,🦥,1
570,👨🏻‍🌾,1
571,🧖🏻‍♂️,1
572,🕌,1
573,🕍,1
574,👷🏼‍♂️,1
575,🛏,1
576,🖥,1
577,☎️,1
578,💡,1
579,🔌,1
580,🎁,1
581,🎈,1
582,🧚‍♂️,1
583,🤜,1
584,🧝‍♀️,1
585,👨🏻‍🎨,1
586,🙋🏼,1
587,🙆‍♀️,1
588,🇲🇽,1
589,💁🏻‍♂️,1
590,®️,1
591,👌🏽,1
592,🦍,1
593,♎,1
594,💉,1
595,⏫,1
596,🗑️,1
597,🎋,1
598,♐,1
599,🗣️,1
600,🥄,1
601,🥛,1
602,☢️,1
603,🤙🏼,1
604,🤙🏽,1
605,⛏,1
606,🍁,1
607,☮,1
608,♻️,1
609,👩‍🏫,1
610,👩🏻‍💼,1
611,👩‍🎓,1
612,👨🏼‍🏫,1
613,🐱,1
614,🦔,1
615,🏎,1
616,💄,1
617,🏌🏻‍♂️,1
618,🤷🏽,1
619,🐒,1
620,🇵🇸,1
621,⚪,1
622,🐈,1
623,🦻,1
624,🔝,1
625,🆗,1
626,✂️,1
627,🔚,1
628,☝🏻,1
629,🐜,1
630,🐚,1
631,🍹,1
632,🌴,1
633,🏖️,1
634,🏊,1
635,🛵,1
636,🐉,1
637,🍿,1
638,🎬,1
639,🎂,1
640,🏜,1
641,🧑‍🌾,1
642,🧗‍♀️,1
643,🏩,1
644,📏,1
645,⏪,1
646,🇹🇨,1
647,🚴,1
648,🎚,1
649,🦟,1
650,🐊,1
651,🏀,1
652,🏺,1
653,👨‍❤️‍👨,1
654,🇻🇦,1
655,⛹️‍♂️,1
656,🙉,1
657,🚻,1
658,🇺🇿,1
659,🅰️,1
660,🇫🇯,1
661,👨‍👧‍👧,1
662,🍾,1
663,🍕,1
664,💐,1
665,👩‍⚕️,1
666,🌧,1
667,🧊,1
668,🩹,1
669,🇮🇶,1
670,👨‍👧,1
671,🧑‍🦳,1
672,🧉,1
673,🚆,1
674,🪔,1
675,🛶,1
676,🈷️,1
677,🚊,1
678,🐔,1
679,🍥,1
680,🏌️‍♀️,1
681,🏈,1
682,🎇,1
683,👩‍👩‍👧‍👦,1
684,🤾‍♂️,1
685,🇦🇪,1
686,🇴🇲,1
687,🇨🇴,1
688,🔅,1
689,📕,1
690,🔞,1
691,➖,1
692,🇨🇿,1
693,💤,1
694,㊗️,1
695,💟,1
696,📮,1
697,♈,1
698,⏺,1
699,🔑,1
700,🧼,1
701,🛕,1
702,🎟,1
703,🏒,1
704,🌾,1
705,🍝,1
706,🎖,1
707,🚎,1
708,🏄‍♂️,1
709,⚰️,1
710,🦅,1
711,🤴,1
712,🤷🏼‍♀️,1
713,👸🏼,1
714,🦈,1
715,🧜🏾‍♀️,1
716,🏓,1
717,🐴,1
718,🥾,1
719,⛺,1
720,🙀,1
721,↔,1
722,🧚,1
723,🚴🏽‍♀️,1
